Names,A1,A2,A3,A4,A5,A6,A7,Sample,Group
C_WestAsia_Saudi_wolf_B1.CanFam31.realigned.bam,1.00E-09,1.00E-09,1.00E-09,0.999999994,1.00E-09,1.00E-09,1.00E-09,Saudi_wolf_B1.CanFam31.realigned.bam,WestAsia
C_WestAsia_Syrian_wolf.CanFam31.realigned.bam,0.061182747,1.00E-09,1.00E-09,0.911473927,0.027333686,1.00E-09,9.64E-06,Syrian_wolf.CanFam31.realigned.bam,WestAsia
C_WestAsia_Lebanonwolf.CanFam31.bam,0.03845792,1.00E-09,0.110859839,0.812047705,7.49E-09,1.00E-09,0.038634527,Lebanonwolf.CanFam31.bam,WestAsia
C_WestAsia_Iran_SAMC036723.CanFam31.bam,1.00E-09,1.00E-09,1.00E-09,0.999999994,1.00E-09,1.00E-09,1.00E-09,Iran_SAMC036723.CanFam31.bam,WestAsia
C_WestAsia_Iran_SRR20326411.merge.CanFam31.bam,1.00E-09,0.011976092,0.153151225,0.722450899,1.00E-09,0.081300515,0.031121267,Iran_SRR20326411.merge.CanFam31.bam,WestAsia
C_WestAsia_Iran_SRR20326410.merge.CanFam31.bam,0.286821639,1.00E-09,1.00E-09,0.713178356,1.00E-09,1.00E-09,1.00E-09,Iran_SRR20326410.merge.CanFam31.bam,WestAsia
C_WestAsia_Iran_SRR20326408.merge.CanFam31.bam,1.00E-09,1.00E-09,0.089445551,0.910528023,1.00E-09,2.64E-05,1.00E-09,Iran_SRR20326408.merge.CanFam31.bam,WestAsia
C_WestAsia_MW387.CanFam31.realigned.bam,0.04033766,1.00E-09,0.305911779,0.56847725,1.00E-09,0.025608536,0.059664774,MW387.CanFam31.realigned.bam,WestAsia
H_Europe_PortugueseWolf.CanFam31.realigned.bam,1.00E-09,1.00E-09,0.999999994,1.00E-09,1.00E-09,1.00E-09,1.00E-09,PortugueseWolf.CanFam31.realigned.bam,Europe
H_Europe_IberianWolf.CanFam31.realigned.bam,0.236270621,1.00E-09,0.763729374,1.00E-09,1.00E-09,1.00E-09,1.00E-09,IberianWolf.CanFam31.realigned.bam,Europe
